CountryCode,CountryName,Currency,TimeZone
ARG,Argentina,ARS,-3
AUS,Australia,AUD,10
BEL,Belgium,EUR,1
BRA,Brazil,BRL,-3
CAN,Canada,CND,-6
DEN,Denmark,DKK,1
FIN,Finland,EUR,1
FRA,France,FFR,1
GER,Germany,EUR,2
IND,Indonesia,IDR,7
IRE,Ireland,EUR,-1
ITA,Italy,EUR,3
JAP,Japan,JPY,9
KOR,Korea,KRW,NULL
MAL,Malaysia,MYR,8
MEX,Mexico,MXV,NULL
NOR,Norway,NULL,NULL
POL,Poland,NULL,NULL
POR,Portugal,NULL,NULL
SIN,Singapore,SGD,8
SLR,Srilanka,Srp,0
SPA,Spain,NULL,NULL
SWE,Sweden,NULL,NULL
SWZ,Switzerland,SFR,2
THA,Thailand,NULL,NULL
UK,UK,NULL,NULL
USA,USA,USD,-6
VEN,Venezuela,NULL,NULL
